,A43ml,A1ml,V43ml,V1ml
1979 - 59G0,0.0,0.0,0.0,0.0
1979 - 59G1,0.0,0.0,0.0,0.0
1979 - 59G2,0.0,0.0,0.0,0.0
1979 - 59G3,0.0,0.0,0.0,0.0
1979 - 59G4,0.0,0.0,0.0,0.0
1979 - 59G5,0.0,0.0,0.0,0.0
1979 - 59G6,0.0,0.0,0.0,0.0
1979 - 59G7,0.0,0.0,0.0,0.0
1979 - 59G8,0.0,0.0,0.0,0.0
1979 - 59G9,0.0,0.0,0.0,0.0
1979 - 59H0,0.0,0.0,0.0,0.0
1979 - 59H1,0.0,0.0,0.0,0.0
1979 - 59H2,0.0,0.0,0.0,0.0
1979 - 59H3,0.0,0.0,0.0,0.0
1979 - 59H4,0.0,0.0,0.0,0.0
1979 - 59H5,0.0,0.0,0.0,0.0
1979 - 59H6,0.0,0.0,0.0,0.0
1979 - 59H7,0.0,0.0,0.0,0.0
1979 - 59H8,0.0,0.0,0.0,0.0
1979 - 59H9,0.0,0.0,0.0,0.0
1979 - 59I0,0.0,0.0,0.0,0.0
1979 - 60F9,0.0,0.0,0.0,0.0
1979 - 60G0,0.0,0.0,0.0,0.0
